,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
243,,,Right-arm medium,New Zealand,10-Jul-75,7.51,37.0,58,SB Styris,278.0,,0
244,,,Left-arm fast-medium,Sri Lanka,1-Mar-81,6.83,24.0,156,T Thushara,164.0,,0
245,,,Right-arm fast-medium,Australia,9-Feb-70,6.67,54.833333333333336,118,GD McGrath,366.0,,0
246,,,Left-arm fast-medium,Sri Lanka,27-Jan-74,7.58,48.0,60,WPUJC Vaas,364.0,,0
247,,,Right-arm fast,West Indies,6-Feb-82,6.4,25.0,165,FH Edwards,160.0,,0
248,,,Right-arm medium,India,20-Sep-81,7.84,12.5,68,WA Mota,98.0,,0
249,,,Right-arm offbreak,South Africa,27-Jun-80,7.13,30.0,158,KP Pietersen,214.0,,0
250,,,Right-arm offbreak,India,24-Dec-86,8.42,11.166666666666666,24,K Goel,94.0,,0
251,,,Right-arm medium,India,8-Jul-72,7.86,46.666666666666664,1,SC Ganguly,367.0,,0
252,,,Right-arm medium,India,20-Oct-81,7.88,26.0,439,AM Salvi,205.0,,0
253,,,Right-arm medium,India,9-May-83,7.58,35.333333333333336,243,VS Malik,268.0,,0
254,,,Right-arm medium,England,4-May-85,8.48,35.5,161,RS Bopara,301.0,,0
255,,,Right-arm medium,India,6-May-81,8.43,54.333333333333336,63,LR Shukla,458.0,,0
256,,,Slow left-arm orthodox,India,20-Dec-88,7.68,37.0,181,KP Appanna,284.0,,0
257,,,Right-arm medium,New Zealand,6-Aug-84,7.67,40.166666666666664,157,JD Ryder,308.0,,0
258,,,Right-arm fast-medium,South Africa,1-Aug-74,6.83,6.0,159,T Henderson,41.0,,0
259,,,Left-arm medium-fast,India,10-Mar-91,8.41,29.5,160,Kamran Khan,248.0,,0
260,,,Right-arm offbreak,Australia,29-Dec-74,7.79,39.666666666666664,104,BJ Hodge,309.0,,0
261,,,Left-arm fast-medium,India,17-Jan-83,8.41,37.0,215,YA Abdulla,311.0,,0
262,,,Right-arm medium-fast,South Africa,10-Jun-81,7.9,301.0,109,JA Morkel,2378.0,,1
263,,,Right-arm fast,South Africa,6-Oct-84,7.43,283.1666666666667,190,M Morkel,2104.0,,1
264,,,Right-arm medium,India,5-Feb-90,6.9,288.3333333333333,299,B Kumar,1989.0,,1
265,,,Right-arm fast-medium,India,25-Oct-87,8.1,288.1666666666667,232,UT Yadav,2335.0,,1
266,,,Right-arm fast-medium,India,2-Sep-88,7.85,266.5,84,I Sharma,2092.0,,1
267,,,Right-arm offbreak,West Indies,26-May-88,6.23,265.6666666666667,315,SP Narine,1656.0,,1
268,,,Right-arm medium-fast,India,25-Mar-84,7.72,254.0,106,AB Dinda,1961.0,,1
269,,,Right-arm fast-medium,South Africa,16-Oct-75,7.72,299.8333333333333,9,JH Kallis,2316.0,,1
270,,,Slow left-arm orthodox,India,5-Sep-86,7.34,324.1666666666667,131,PP Ojha,2379.0,,1
271,,,Right-arm medium,India,10-Dec-88,7.63,227.66666666666666,80,DS Kulkarni,1736.0,,1
272,,,Right-arm medium,India,18-Sep-88,7.79,214.83333333333334,364,MM Sharma,1674.0,,1
273,,,Right-arm fast-medium,Australia,17-Jun-81,7.45,299.1666666666667,32,SR Watson,2230.0,,1
274,,,Right-arm medium,India,4-Sep-82,7.36,259.5,39,SK Trivedi,1909.0,,1
275,,,Right-arm medium-fast,West Indies,12-May-87,8.18,210.66666666666666,221,KA Pollard,1724.0,,1
276,,,Right-arm medium-fast,India,22-Oct-79,7.35,269.6666666666667,89,R Bhatia,1982.0,,1
277,,,Left-arm medium-fast,India,29-Apr-79,7.56,307.0,73,A Nehra,2321.0,,1
278,,,Right-arm medium-fast,India,27-Sep-81,7.83,262.3333333333333,151,L Balaji,2055.0,,1
279,,,Slow left-arm orthodox,India,6-Dec-88,7.5,288.8333333333333,35,RA Jadeja,2166.0,,1
280,,,Legbreak googly,Australia,13-Sep-69,7.19,203.83333333333334,38,SK Warne,1465.0,,1
281,,,Right-arm medium-fast,India,12-Jul-83,7.4,223.16666666666666,126,MM Patel,1652.0,,1
282,,,Right-arm offbreak,Sri Lanka,17-Apr-72,6.61,263.5,121,M Muralitharan,1743.0,,1
283,,,Left-arm fast-medium,India,6-Dec-85,7.63,312.3333333333333,61,RP Singh,2382.0,,1
284,,,Left-arm fast-medium,New Zealand,11-Jun-86,7.95,106.16666666666667,403,MJ McClenaghan,844.0,,2
285,,,Slow left-arm orthodox,India,11-Sep-76,7.09,197.0,83,M Kartik,1397.0,,2
286,,,Slow left-arm orthodox,New Zealand,27-Jan-79,6.77,130.83333333333334,175,DL Vettori,886.0,,2
287,,,Right-arm fast-medium,South Africa,30-Apr-87,7.46,142.16666666666666,350,CH Morris,1060.0,,2
288,,,Right-arm medium,India,4-Jan-84,8.31,151.66666666666666,120,MS Gony,1261.0,,2
289,,,Right-arm fast,Australia,8-Nov-76,7.28,152.66666666666666,66,B Lee,1111.0,,2
290,,,Legbreak googly,India,23-Oct-87,7.95,142.83333333333334,166,KV Sharma,1136.0,,2
291,,,Right-arm offbreak,India,17-Nov-82,7.2,190.33333333333334,31,YK Pathan,1371.0,,2
292,,,Right-arm medium,India,15-Aug-89,7.79,78.16666666666667,359,IC Pandey,609.0,,2
293,,,Right-arm medium,India,18-May-93,7.53,162.16666666666666,367,Sandeep Sharma,1221.0,,2
294,,,Slow left-arm orthodox,India,20-Jan-94,7.41,164.33333333333334,374,AR Patel,1218.0,,2
