,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
56,155.0,Left_Hand,,India,4-Oct-97,,,420,RR Pant,198.0,127.74,2
57,29.0,Left_Hand,,New Zealand,11-Jun-86,,,403,MJ McClenaghan,47.0,162.07,2
58,103.0,Right_Hand,,India,27-Oct-97,,,402,SN Khan,177.0,171.84,2
59,94.0,Right_Hand,,South Africa,18-May-85,,,401,D Wiese,127.0,135.11,2
60,33.0,Left_Hand,,India,16-Jan-94,,,398,J Suchith,48.0,145.45,2
61,224.0,Right_Hand,,India,19-Apr-95,,,394,DJ Hooda,295.0,131.7,2
62,13.0,Left_Hand,,India,20-May-93,,,390,R Tewatia,16.0,123.08,2
63,43.0,Right_Hand,,Australia,30-Jan-87,,,385,BCJ Cutting,73.0,169.77,2
64,40.0,Right_Hand,,West Indies,18-Jul-88,,,408,CR Brathwaite,83.0,207.5,2
65,3.0,Right_Hand,,India,9-Sep-93,,,381,Shivam Sharma,5.0,166.67,2
66,33.0,Right_Hand,,New Zealand,11-Dec-88,,,377,TG Southee,47.0,142.42,2
67,284.0,Left_Hand,,New Zealand,13-Dec-90,,,372,CJ Anderson,379.0,133.45,2
68,238.0,Right_Hand,,Netherlands,30-Jun-80,,,284,RN ten Doeschate,326.0,136.97,2
69,89.0,Left_Hand,,India,18-Dec-88,,,369,Sachin Baby,122.0,137.08,2
70,63.0,Right_Hand,,England,7-Mar-85,,,358,LJ Wright,106.0,168.25,2
71,111.0,Right_Hand,,Australia,16-Aug-89,,,409,MP Stoinis,146.0,131.53,2
72,146.0,Left_Hand,,Australia,26-Mar-81,,,353,BJ Rohrer,193.0,132.19,2
73,178.0,Right_Hand,,South Africa,30-Apr-87,,,350,CH Morris,285.0,160.11,2
74,13.0,Right_Hand,,India,21-Aug-85,,,412,P Sahu,19.0,146.15,2
75,127.0,Left_Hand,,India,24-Mar-91,,,413,KH Pandya,237.0,186.61,2
76,189.0,Right_Hand,,England,8-Sep-90,,,407,JC Buttler,255.0,134.92,2
77,42.0,Left_Hand,,Australia,29-Dec-93,,,417,TM Head,54.0,128.57,2
78,9.0,Right_Hand,,India,18-Jun-86,,,332,K Upadhyay,12.0,133.33,2
79,325.0,Left_Hand,,Sri Lanka,3-Apr-89,,,280,NLTC Perera,423.0,130.15,2
80,15.0,Right_Hand,,India,22-Jul-88,,,433,ER Dwivedi,24.0,160.0,2
81,400.0,Left_Hand,,Bangladesh,24-Mar-87,,,276,Shakib Al Hasan,499.0,124.75,2
82,11.0,Right_Hand,,Australia,23-Oct-77,,,279,BJ Haddin,18.0,163.64,2
83,82.0,Right_Hand,,Pakistan,28-May-74,,,113,Misbah-ul-Haq,117.0,142.68,2
84,27.0,Right_Hand,,Sri Lanka,14-Dec-79,,,111,LPC Silva,40.0,148.15,2
85,115.0,Left_Hand,,India,3-Dec-81,,,108,S Vidyut,145.0,126.09,2
86,19.0,Right_Hand,,Pakistan,14-Apr-84,,,105,Umar Gul,39.0,205.26,2
87,352.0,Right_Hand,,India,29-Mar-84,,,101,SA Asnodkar,423.0,120.17,2
88,9.0,Left_Hand,,Sri Lanka,13-May-78,,,98,DNT Zoysa,11.0,122.22,2
89,124.0,Right_Hand,,India,7-Sep-84,,,90,MF Maharoof,177.0,142.74,2
90,251.0,Left_Hand,,Australia,28-Sep-84,,,139,LA Pomersbach,302.0,120.32,2
91,3.0,Right_Hand,,India,17-Sep-84,,,78,VRV Singh,4.0,133.33,2
92,78.0,Right_Hand,,Pakistan,13-Jan-82,,,69,Kamran Akmal,128.0,164.1,2
93,102.0,Right_Hand,,Australia,8-Nov-76,,,66,B Lee,124.0,121.57,2
94,116.0,Right_Hand,,South Africa,16-Jul-73,,,49,SM Pollock,147.0,126.72,2
95,24.0,Right_Hand,,India,12-Nov-82,,,37,D Salunkhe,33.0,137.5,2
96,191.0,Left_Hand,,Australia,21-Aug-75,,,28,SM Katich,237.0,124.08,2
97,314.0,Right_Hand,,Australia,24-Oct-78,,,25,JR Hopes,417.0,132.8,2
98,57.0,Right_Hand,,India,7-Oct-77,,,12,B Akhil,76.0,133.33,2
99,318.0,Right_Hand,,South Africa,3-Dec-76,,,11,MV Boucher,394.0,123.9,2
100,46.0,Right_Hand,,Pakistan,1-Mar-80,,,70,Shahid Afridi,81.0,176.09,2
101,3.0,Right_Hand,,Sri Lanka,19-Jul-79,,,149,CRD Fernando,4.0,133.33,2
102,76.0,Right_Hand,,India,4-Jan-84,,,120,MS Gony,99.0,130.26,2
103,159.0,Right_Hand,,England,26-May-76,,,241,PD Collingwood,203.0,127.67,2
104,23.0,Right_Hand,,India,9-Oct-87,,,245,AP Dole,34.0,147.83,2
105,26.0,Right_Hand,,India,25-Oct-89,,,244,A Mithun,34.0,130.77,2
106,135.0,Right_Hand,,South Africa,20-Mar-79,,,176,MN van Wyk,167.0,123.7,2
107,78.0,Left_Hand,,India,27-Dec-93,,,431,N Rana,104.0,133.33,2
108,143.0,Right_Hand,,Australia,4-Oct-79,,,230,AC Voges,181.0,126.57,2
109,99.0,Left_Hand,,India,28-Sep-83,,,228,Bipul Sharma,156.0,157.58,2
110,27.0,Right_Hand,,India,5-Nov-88,,,246,AN Ahmed,36.0,133.33,2
111,29.0,Left_Hand,,India,16-Apr-82,,,226,S Narwal,37.0,127.59,2
112,12.0,Left_Hand,,India,7-Sep-92,,,256,Harmeet Singh,18.0,150.0,2
113,26.0,Right_Hand,,India,17-Jun-84,,,261,AUK Pathan,39.0,150.0,2
114,260.0,Right_Hand,,India,7-Nov-87,,,207,AP Tare,321.0,123.46,2
115,405.0,Right_Hand,,England,22-Oct-78,,,204,OA Shah,506.0,124.94,2
116,93.0,Left_Hand,,South Africa,6-Oct-84,,,190,M Morkel,126.0,135.48,2
117,31.0,Right_Hand,,India,18-Dec-86,,,264,Sunny Singh,43.0,138.71,2
118,19.0,Left_Hand,,India,8-Apr-84,,,270,S Aravind,27.0,142.11,2
119,198.0,Left_Hand,,England,12-Feb-80,,,224,MJ Lumb,278.0,140.4,2
120,2.0,Right_Hand,,India,18-Oct-80,,,247,RS Sodhi,4.0,200.0,2
121,1862.0,Left_Hand,,India,12-Dec-81,,,27,Yuvraj Singh,2339.0,125.62,3
